V47_20141104053811954403.fits 495.233 477.693
V47_20141104053812237879.fits 498.922 479.92
V47_20141104053812521362.fits 495.238 477.233
V47_20141104053411281480.fits 495.77 476.003
V47_20141104053410998011.fits 492.966 473.77
V47_20141104053042074630.fits 497.35 481.302
V47_20141104053809119631.fits 494.858 477.646
V47_20141104053809403101.fits 497.544 479.562
V47_20141104053758914421.fits 498.158 484.598
V47_20141104053405044962.fits 494.994 474.577
V47_20141104053406745848.fits 493.701 473.216
V47_20141104053045476369.fits 497.085 481.457
V47_20141104053045759848.fits 493.96 477.478
V47_20141104053046893758.fits 493.575 478.54
V47_20141104054538149033.fits 498.315 482.737
V47_20141104053403911059.fits 495.577 474.512
V47_20141104053048027673.fits 494.783 479.616
V47_20141104053754662236.fits 498.379 484.281
V47_20141104054524258599.fits 498.922 481.782
V47_20141104054532195989.fits 499.466 481.971
V47_20141104053756079627.fits 496.677 481.186
V47_20141104053756646584.fits 495.305 478.625
V47_20141104054523408164.fits 495.77 477.617
V47_20141104053050012015.fits 500.08 483.826
V47_20141104054522841206.fits 495.957 477.381
V47_20141104053357958018.fits 490.848 470.243
V47_20141104053752961369.fits 498.848 485.305
V47_20141104053358808446.fits 494.891 476.021
V47_20141104053750410073.fits 496.607 480.199
V47_20141104053750693542.fits 497.612 480.758
V47_20141104054520856859.fits 498.214 480.543
V47_20141104053752110943.fits 498.329 484.479
V47_20141104053052563321.fits 494.687 480.122
V47_20141104053744457027.fits 498.772 481.702
V47_20141104053747008330.fits 498.017 484.282
V47_20141104053748142244.fits 496.743 480.469
V47_20141104054519722948.fits 498.999 480.615
V47_20141104054520573387.fits 498.475 481.589
V47_20141104053357107577.fits 493.39 473.309
V47_20141104054518305564.fits 494.938 474.68
V47_20141104053054831144.fits 495.765 481.98
V47_20141104054513486427.fits 499.003 480.402
V47_20141104054514620343.fits 498.646 479.577
V47_20141104053743890070.fits 502.834 488.213
V47_20141104054507533391.fits 497.597 479.979
V47_20141104054510651646.fits 499.395 481.184
V47_20141104053743606609.fits 496.001 478.142
V47_20141104053355973669.fits 495.25 475.735
V47_20141104054505549041.fits 500.208 481.445
V47_20141104053057382448.fits 497.992 481.366
V47_20141104054502997736.fits 496.705 477.679
V47_20141104053738220507.fits 498.566 483.59
V47_20141104054500162956.fits 497.28 480.514
V47_20141104053350871056.fits 496.75 477.922
V47_20141104053351154531.fits 494.41 477.303
V47_20141104053352288450.fits 491.879 471.518
V47_20141104053352571925.fits 495.241 473.936
V47_20141104054455060348.fits 495.126 475.481
V47_20141104054459879473.fits 501.929 484.805
V47_20141104053736803115.fits 496.296 480.517
V47_20141104054454209909.fits 497.731 477.655
V47_20141104054454776865.fits 499.583 480.498
V47_20141104053349453665.fits 493.269 473.124
V47_20141104053101351144.fits 497.537 481.367
V47_20141104053101634619.fits 494.649 476.562
V47_20141104053728015293.fits 497.203 480.369
V47_20141104053729432685.fits 494.679 477.803
V47_20141104054450241217.fits 501.611 485.648
V47_20141104054450808174.fits 500.19 483.149
V47_20141104053103052013.fits 495.938 478.786
V47_20141104053103335495.fits 494.08 477.861
V47_20141104054434649915.fits 496.186 477.943
V47_20141104054434933395.fits 498.358 478.862
